Ftests;d1Ftests;d2Ftests;FFtests;pvaluesFtests;ttests;dfttest;Tttest;pvaluesttests;pvalueSymbol;pvalueplain;effectsize;Mturk;LabStudy;FieldStudy;NoStudy;NoExperiment;Journal;Year;Issue;Article
[];[];[];[];[];[];[];[];[];[' p =.131', ' p =.165', '(p =.200', '(p =.116', '(p =.324', '(p =.29'];['.131', '.165', '.200', '.116', '.324', '.29'];['d='];[];[];[];[];[];JCP;11;2;JCP1102\23049227.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.139'];['.139'];[];[];[];[];[];[];JCP;11;2;JCP1102\23049228.pdf.txt
['f(2, 170)=70.49,p<.001'];['2'];['170'];['70.49'];['.001'];['t(52)= 3.40,p<.01'];['52'];['3.40'];['.01'];[' p =.142', '(p =.157', '(p =.61'];['.142', '.157', '.61'];[];[];[];[];[];[];JCP;11;2;JCP1102\23049229.pdf.txt
['f(3, 66)= 101.80, p< .001', 'f(3, 66)= 164.97, p< .001', 'f(3, 124)=9.14, p<.001', 'f(1, 124)=8.90, p<.005', 'f(3, 124)= 10.58, p< .001', 'f(3, 44) = 6.75, p<.005', 'f (3, 80)= 16.28,p<.001', 'f(1, 107) = 6.23, p<.05', 'f(2, 107) = 3.44, p<.05', 'f(2, 50) = 7.41, p<.001', 'f(2, 107)=4.22, p<.05', 'f(1, 37)=4.44, p<.05', 'f(1, 37) = 6.25,p<.05', 'f(1, 68)=9.58, p<.01', 'f(1,68)=5.48,p<.05', 'f(1, 68)= 1.09, ns.'];['3', '3', '3', '1', '3', '3', '3', '1', '2', '2', '2', '1', '1', '1', '1', '1'];['66', '66', '124', '124', '124', '44', '80', '107', '107', '50', '107', '37', '37', '68', '68', '68'];['101.80', '164.97', '9.14', '8.90', '10.58', '6.75', '16.28', '6.23', '3.44', '7.41', '4.22', '4.44', '6.25', '9.58', '5.48', '1.09'];['.001', '.001', '.001', '.005', '.001', '.005', '.001', '.05', '.05', '.001', '.05', '.05', '.05', '.01', '.05', 'ns.'];[];[];[];[];[' p =.146', ' p < .05', '(p =.161', '(p =.197'];['.146', '.05', '.161', '.197'];['d=', 'd=', 'd=', 'd='];[];[];[];[];['experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 3', 'experiment 1', 'experiment 2', 'experiment 3', 'experiment 3', 'experiment 3', 'experiment 1'];JCP;11;2;JCP1102\23049230.pdf.txt
['f(1, 84)=5.497, p<0.05', 'f(1, 84)=1.42, p=0.23', 'f(1, 84)=4.32,p <0.05', 'f(1, 84)=25.52, p<0.001', 'f(1, 68)=4.543,p <0.05', 'f(1, 51)=3.125,p=0.083', 'f(1,70) =0.018, p=0.893', 'f(1,70) = 0.279,p=0.599', 'f(1,70) = 0.003, p = 0.960'];['1', '1', '1', '1', '1', '1', '1', '1', '1'];['84', '84', '84', '84', '68', '51', '70', '70', '70'];['5.497', '1.42', '4.32', '25.52', '4.543', '3.125', '0.018', '0.279', '0.003'];[ '.05',  '.23',  '.05',  '.001',  '.05',  '.083',  '.893',  '.599',  '.960'];['t(38)= 1.709, p = 0.05', 't(79)=2.833, p<0.01', 't(40)= 2.8, p<0.01', 't(37)=0.159, p=0.875', 't(37)=-0.859, p = 0.396'];['38', '79', '40', '37', '37'];['1.709', '2.833', '2.8', '0.159', '0.859'];['.05', '.01', '.01', '.875', '.396'];[' p =.157', ' p = 0.05', ' p = 0.960', ' p = 0.396', '(p =.60', '(p =.11', '(p =.1', '(p =.1', '(p =.1', '(p =.193', '(p =.17', '(p =.67', '(p =.151', '(p =.18', '(p =.199', '(p =.147'];['.157', '.05', '.960', '.396', '.60', '.11', '.1', '.1', '.1', '.193', '.17', '.67', '.151', '.18', '.199', '.147'];['d=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd=', 'd='];[];[];[];[];['experiment 1', 'experiment 2', 'experiment 3', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 3', 'experiment 3', 'experiment 1', 'experiment 1', 'experiment 3', 'experiment 2', 'experiment 3', 'experiment 3'];JCP;11;2;JCP1102\23049231.pdf.txt
[];[];[];[];[];['t(135) = 4.35,p <.0001', 't(359)= 9.00, p<.0001', 't(355) = 1.22, ns', 't(355)=-2.88, p<.01'];['135', '359', '355', '355'];['4.35', '9.00', '1.22', '2.88'];['.0001', '.0001', 'ns', '.01'];[' p =.169', ' p < .05', ' p <.0001', '(p =.323', '(p =.359', '(p =.406'];['.169', '.05', '.0001', '.323', '.359', '.406'];[];[];[];[];['study 1', 'study 2', 'study 2', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 2', 'study 1', 'study 2'];[];JCP;11;2;JCP1102\23049232.pdf.txt
['f(1,931) = 6.45, p< .001', 'f(1,928)=5.15, p<.05', 'f(1,931)= 1.85, p <.10', 'f(1,931)=3.95, p < .05', 'f(1,644) = .67, p > .20', 'f(1,644) < 1, ns'];['1', '1', '1', '1', '1', '1'];['931', '928', '931', '931', '644', '644'];['6.45', '5.15', '1.85', '3.95', '.67', '1'];['.001', '.05', '.10', '.05', '.20', 'ns'];[];[];[];[];[' p =.178', ' p <.10', ' p < .05', ' p > .20'];['.178', '.10', '.05', '.20'];[];[];[];[];[];[];JCP;11;2;JCP1102\23049233.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.184'];['.184'];['d=', 'd='];[];[];[];['study 1', 'study 2', 'study 1', 'study 2', 'study 1', 'study 1', 'study 1', 'study 2'];[];JCP;11;2;JCP1102\23049234.pdf.txt
['f(1, 123)= 3.49, p<.05', 'f(1, 48) = 5.41, p<.05', 'f(4, 192)= 151.52, p<.001', 'f(4, 192)=2.54,p <.05', 'f(1, 48) = 3.59, p=.06', 'f(1, 48) = 5.66,p<.05', 'f(1, 95)= 123.27,p<0.01', 'f(1, 95) = 3.72, p<0.06'];['1', '1', '4', '4', '1', '1', '1', '1'];['123', '48', '192', '192', '48', '48', '95', '95'];['3.49', '5.41', '151.52', '2.54', '3.59', '5.66', '123.27', '3.72'];['.05', '.05', '.001', '.05', '.06', '.05',  '.01',  '.06'];[];[];[];[];[' p =.192', ' p <.001'];['.192', '.001'];['d=', 'd ='];[];[];['field experiment'];['study 1', 'study 1', 'study 2', 'study 2', 'study 2', 'study 2', 'study 2', 'study 3', 'study 3', 'study 3', 'study 2', 'study 2', 'study 3'];[];JCP;11;2;JCP1102\23049235.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.199', ' p <0.01', ' p = 0.02', '(p =.327', '(p =.10'];['.199', '.01', '.02', '.327', '.10'];['d =', 'd =', 'd=', 'd=', 'd=', 'd=', 'd='];[];[];[];[];[];JCP;11;2;JCP1102\23049236.pdf.txt
[];[];[];[];[];['t(15) = .46, p = .65', 't(15) = 1.48, p = .16'];['15', '15'];['.46', '1.48'];['.65', '.16'];[' p =.206', ' p = .41', ' p = .65', ' p = .16', ' p = .07', ' p = .03', ' p = .29', ' p = .76', ' p = .01', ' p = .03', ' p = .09', '(p =.253', '(p =.77', '(p =.195'];['.206', '.41', '.65', '.16', '.07', '.03', '.29', '.76', '.01', '.03', '.09', '.253', '.77', '.195'];['d =', 'd='];[];[];[];[];[];JCP;11;2;JCP1102\23049237.pdf.txt
[];[];[];[];[];[];[];[];[];[' p =.978'];['.978'];[];[];[];['field experiment'];[];[];JCP;11;2;JCP1102\23049238.pdf.txt
[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];JCP;11;3;JCP1103\23049320.pdf.txt
['f(4, 89)=2.49,p = .05', 'f(4, 89)=2.44,p = .05', 'f(4, 90)=2.36,p=.06', 'f(4, 89)=2.46,p=.05', 'f(4, 85)= 1.88, p=.12', 'f(1, 178) = 5.98, p=.02', 'f(2, 178) = 3.89,p = .02', 'f(2, 178)=.80, p = .45', 'f(2, 178)= 1.51, p = .22', 'f(1, 29) = 1.16, p=.29', 'f(1, 92) = 11.90, p=.001', 'f (1, 92)=4.77, p = .03', 'f(1, 92)=.76, p=.39', 'f(1, 92)=3.06, p= .08'];['4', '4', '4', '4', '4', '1', '2', '2', '2', '1', '1', '1', '1', '1'];['89', '89', '90', '89', '85', '178', '178', '178', '178', '29', '92', '92', '92', '92'];['2.49', '2.44', '2.36', '2.46', '1.88', '5.98', '3.89', '.80', '1.51', '1.16', '11.90', '4.77', '.76', '3.06'];['.05', '.05', '.06', '.05', '.12', '.02', '.02', '.45', '.22', '.29', '.001', '.03', '.39', '.08'];['t(39)=.05,p=.96'];['39'];['.05'];['.96'];[' p =.215', ' p = .45', ' p = .22', ' p = .36', ' p = .75', ' p = .03', ' p = .005', '(p =.253'];['.215', '.45', '.22', '.36', '.75', '.03', '.005', '.253'];['g='];[];[];[];[];['experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 3', 'experiment 2', 'experiment 1', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 2', 'experiment 2', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 1', 'experiment 2'];JCP;11;3;JCP1103\23049321.pdf.txt
['f(1, 94)= 4.08, p <.05', 'f(1, 94)=5.93, p<.05', 'f(1, 94)=8.69, p<.01', 'f(1, 94)= 4.06, p<.05', 'f(1, 94)=6.51, p=.01', 'f(1, 94)=5.04, p<.05', 'f(1, 102)= 14.98, p < .001', 'f(1, 102)=8.96,p<.005', 'f(1, 102)=5.51, p<.05', 'f(1, 102)=22.58, p< .001', 'f(1, 163)= 4.66, p<.05', 'f(1, 163)= 14.68, p< .001', 'f(1, 169)=4.62, p<.05', 'f(1, 169) = 6.87, p<.0', 'f(1, 169) = 3.91,p = .05', 'f(1, 169) = 5.42, p<.05', 'f(1, 139)= 27.03, p<.001', 'f(1, 139)=20.84,p<.001', 'f(1, 139)=8.63,p <.005', 'f(1, 223)=8.69, p <.005', 'f(1, 223)= 6.48,p = .01', 'f(1, 223)= 1.16, ns', 'f(1, 223)= 1.48, ns', 'f(1, 223) = 6.98, p<.01', 'f(1, 223) = 8.84, p<.005', 'f(1, 223)= 1.53, ns', 'f(1, 223)=5.67, p <.05', 'f(1, 114)= 11.47, p = .001', 'f(1, 114)= 12.61, p =.001', 'f(1, 114) = 25.14,p<.001', 'f(1, 114)= 13.72, p<.001', 'f(1, 112)=7.59,p<.01', 'f(1, 112)=26.03, pc.001', 'f(1,114)= 5.32,p<.05', 'f(1, 114)=6.93, p<.0', 'f(1, 112)= 1.41, ns', 'f(1, 114) = 6.67, p = .01', 'f(1, 112)=3.08,p<.05', 'f(1, 115) = 11.70, p<.001', 'f(1, 113)=9.92, p< .005', 'f(1, 113) = 2.60, p=.05', 'f(1, 113)=3.25, p<.05', 'f(1, 113) = 9.33, p<.005'];['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1'];['94', '94', '94', '94', '94', '94', '102', '102', '102', '102', '163', '163', '169', '169', '169', '169', '139', '139', '139', '223', '223', '223', '223', '223', '223', '223', '223', '114', '114', '114', '114', '112', '112', '114', '114', '112', '114', '112', '115', '113', '113', '113', '113'];['4.08', '5.93', '8.69', '4.06', '6.51', '5.04', '14.98', '8.96', '5.51', '22.58', '4.66', '14.68', '4.62', '6.87', '3.91', '5.42', '27.03', '20.84', '8.63', '8.69', '6.48', '1.16', '1.48', '6.98', '8.84', '1.53', '5.67', '11.47', '12.61', '25.14', '13.72', '7.59', '26.03', '5.32', '6.93', '1.41', '6.67', '3.08', '11.70', '9.92', '2.60', '3.25', '9.33'];['.05', '.05', '.01', '.05', '.01', '.05', '.001', '.005', '.05', '.001', '.05', '.001', '.05', '.0', '.05', '.05', '.001', '.001', '.005', '.005', '.01', 'ns', 'ns', '.01', '.005', 'ns', '.05', '.001', '.001', '.001', '.001', '.01', '.001', '.05', '.0', 'ns', '.01', '.05', '.001', '.005', '.05', '.05', '.005'];[];[];[];[];[' p =.226', ' p <.05', ' p < .001', ' p <.005', ' p <.05', ' p = .001', ' p =.001', ' p = .01', '(p =.37', '(p =.401', '(p =.219', '(p =.192238'];['.226', '.05', '.001', '.005', '.05', '.001', '.001', '.01', '.37', '.401', '.219', '.192238'];['d =', 'd=', 'd =', 'd='];[];[];[];['study 3', 'study 1', 'study 1', 'study 3', 'study 4', 'study 1', 'study 1', 'study 1', 'study 2', 'study 2', 'study 1', 'study 234', 'study 3', 'study 1', 'study 1', 'study 3', 'study 2', 'study 2', 'study 2', 'study 2', 'study 3', 'study 4', 'study 4', 'study 4', 'study 2', 'study 3', 'study 4', 'study 1', 'study 1', 'study 4', 'study 1', 'study 4'];[];JCP;11;3;JCP1103\23049322.pdf.txt
